T, HRS, LRS, cba1_sd, cba2_sd, test_acc2
0.0, 1000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 1000, 500, 0.39589732744431483, 0.10101525445522108, 0.7861999869346619
0.1, 1000, 500, 0.7917946548886297, 0.20203050891044216, 0.6287000179290771
0.15, 1000, 500, 1.1876919823329444, 0.3030457633656632, 0.4666999876499176
0.2, 1000, 500, 1.5835893097772593, 0.4040610178208843, 0.35370001196861267
0.25, 1000, 500, 1.979486637221574, 0.5050762722761054, 0.274399995803833
0.3, 1000, 500, 2.3753839646658887, 0.6060915267313264, 0.22699999809265137
0.35, 1000, 500, 2.7712812921102032, 0.7071067811865476, 0.19509999454021454
0.4, 1000, 500, 3.1671786195545186, 0.8081220356417687, 0.17749999463558197
0.45, 1000, 500, 3.563075946998833, 0.9091372900969897, 0.16369999945163727
0.5, 1000, 500, 3.958973274443148, 1.0101525445522108, 0.15199999511241913
0.55, 1000, 500, 4.354870601887463, 1.111167799007432, 0.13860000669956207
0.6, 1000, 500, 4.7507679293317775, 1.2121830534626528, 0.1356000006198883
0.65, 1000, 500, 5.1466652567760915, 1.3131983079178742, 0.12680000066757202
0.7, 1000, 500, 5.5425625842204065, 1.4142135623730951, 0.13040000200271606
0.75, 1000, 500, 5.938459911664722, 1.5152288168283161, 0.1273999959230423
0.8, 1000, 500, 6.334357239109037, 1.6162440712835373, 0.12520000338554382
0.85, 1000, 500, 6.730254566553351, 1.7172593257387583, 0.12020000070333481
0.9, 1000, 500, 7.126151893997666, 1.8182745801939795, 0.11760000139474869
0.95, 1000, 500, 7.522049221441981, 1.9192898346492004, 0.11789999902248383
0.0, 2000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 2000, 500, 0.19794866372215741, 0.05050762722761054, 0.8356999754905701
0.1, 2000, 500, 0.39589732744431483, 0.10101525445522108, 0.7878999710083008
0.15, 2000, 500, 0.5938459911664722, 0.1515228816828316, 0.7063999772071838
0.2, 2000, 500, 0.7917946548886297, 0.20203050891044216, 0.6262000203132629
0.25, 2000, 500, 0.989743318610787, 0.2525381361380527, 0.5472999811172485
0.3, 2000, 500, 1.1876919823329444, 0.3030457633656632, 0.4571000039577484
0.35, 2000, 500, 1.3856406460551016, 0.3535533905932738, 0.392300009727478
0.4, 2000, 500, 1.5835893097772593, 0.4040610178208843, 0.35179999470710754
0.45, 2000, 500, 1.7815379734994166, 0.45456864504849487, 0.3066999912261963
0.5, 2000, 500, 1.979486637221574, 0.5050762722761054, 0.2694000005722046
0.55, 2000, 500, 2.1774353009437317, 0.555583899503716, 0.24570000171661377
0.6, 2000, 500, 2.3753839646658887, 0.6060915267313264, 0.23960000276565552
0.65, 2000, 500, 2.5733326283880458, 0.6565991539589371, 0.20960000157356262
0.7, 2000, 500, 2.7712812921102032, 0.7071067811865476, 0.19750000536441803
0.75, 2000, 500, 2.969229955832361, 0.7576144084141581, 0.18459999561309814
0.8, 2000, 500, 3.1671786195545186, 0.8081220356417687, 0.18289999663829803
0.85, 2000, 500, 3.3651272832766757, 0.8586296628693791, 0.16949999332427979
0.9, 2000, 500, 3.563075946998833, 0.9091372900969897, 0.16359999775886536
0.95, 2000, 500, 3.7610246107209906, 0.9596449173246002, 0.1582999974489212
0.0, 3000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 3000, 500, 0.13196577581477162, 0.03367175148507369, 0.843999981880188
0.1, 3000, 500, 0.26393155162954324, 0.06734350297014738, 0.8263000249862671
0.15, 3000, 500, 0.3958973274443148, 0.10101525445522107, 0.788100004196167
0.2, 3000, 500, 0.5278631032590865, 0.13468700594029476, 0.7444999814033508
0.25, 3000, 500, 0.659828879073858, 0.16835875742536846, 0.6855999827384949
0.3, 3000, 500, 0.7917946548886295, 0.20203050891044214, 0.6274999976158142
0.35, 3000, 500, 0.923760430703401, 0.23570226039551584, 0.5679000020027161
0.4, 3000, 500, 1.055726206518173, 0.2693740118805895, 0.5146999955177307
0.45, 3000, 500, 1.1876919823329444, 0.30304576336566325, 0.4560999870300293
0.5, 3000, 500, 1.319657758147716, 0.3367175148507369, 0.4185999929904938
0.55, 3000, 500, 1.4516235339624877, 0.37038926633581065, 0.3849000036716461
0.6, 3000, 500, 1.583589309777259, 0.40406101782088427, 0.35269999504089355
0.65, 3000, 500, 1.7155550855920307, 0.43773276930595806, 0.32339999079704285
0.7, 3000, 500, 1.847520861406802, 0.4714045207910317, 0.2888999879360199
0.75, 3000, 500, 1.9794866372215743, 0.5050762722761054, 0.2759999930858612
0.8, 3000, 500, 2.111452413036346, 0.538748023761179, 0.2603999972343445
0.85, 3000, 500, 2.243418188851117, 0.5724197752462528, 0.24449999630451202
0.9, 3000, 500, 2.3753839646658887, 0.6060915267313265, 0.23190000653266907
0.95, 3000, 500, 2.5073497404806604, 0.6397632782164001, 0.22130000591278076
0.0, 4000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 4000, 500, 0.09897433186107871, 0.02525381361380527, 0.8521000146865845
0.1, 4000, 500, 0.19794866372215741, 0.05050762722761054, 0.8345000147819519
0.15, 4000, 500, 0.2969229955832361, 0.0757614408414158, 0.8137999773025513
0.2, 4000, 500, 0.39589732744431483, 0.10101525445522108, 0.7868000268936157
0.25, 4000, 500, 0.4948716593053935, 0.12626906806902635, 0.7501999735832214
0.3, 4000, 500, 0.5938459911664722, 0.1515228816828316, 0.7181000113487244
0.35, 4000, 500, 0.6928203230275508, 0.1767766952966369, 0.675000011920929
0.4, 4000, 500, 0.7917946548886297, 0.20203050891044216, 0.631600022315979
0.45, 4000, 500, 0.8907689867497083, 0.22728432252424743, 0.5795000195503235
0.5, 4000, 500, 0.989743318610787, 0.2525381361380527, 0.5364000201225281
0.55, 4000, 500, 1.0887176504718659, 0.277791949751858, 0.5012999773025513
0.6, 4000, 500, 1.1876919823329444, 0.3030457633656632, 0.4643000066280365
0.65, 4000, 500, 1.2866663141940229, 0.32829957697946854, 0.4284000098705292
0.7, 4000, 500, 1.3856406460551016, 0.3535533905932738, 0.3953999876976013
0.75, 4000, 500, 1.4846149779161806, 0.37880720420707903, 0.37070000171661377
0.8, 4000, 500, 1.5835893097772593, 0.4040610178208843, 0.34709998965263367
0.85, 4000, 500, 1.6825636416383378, 0.42931483143468957, 0.328000009059906
0.9, 4000, 500, 1.7815379734994166, 0.45456864504849487, 0.3028999865055084
0.95, 4000, 500, 1.8805123053604953, 0.4798224586623001, 0.29319998621940613
0.0, 5000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 5000, 500, 0.07917946548886297, 0.020203050891044214, 0.8495000004768372
0.1, 5000, 500, 0.15835893097772594, 0.04040610178208843, 0.8391000032424927
0.15, 5000, 500, 0.23753839646658886, 0.060609152673132646, 0.8299000263214111
0.2, 5000, 500, 0.3167178619554519, 0.08081220356417686, 0.8111000061035156
0.25, 5000, 500, 0.39589732744431483, 0.10101525445522107, 0.7840999960899353
0.3, 5000, 500, 0.4750767929331777, 0.12121830534626529, 0.7537000179290771
0.35, 5000, 500, 0.5542562584220406, 0.1414213562373095, 0.7321000099182129
0.4, 5000, 500, 0.6334357239109037, 0.16162440712835371, 0.6912000179290771
0.45, 5000, 500, 0.7126151893997666, 0.18182745801939795, 0.6610000133514404
0.5, 5000, 500, 0.7917946548886297, 0.20203050891044214, 0.6244999766349792
0.55, 5000, 500, 0.8709741203774926, 0.2222335598014864, 0.5900999903678894
0.6, 5000, 500, 0.9501535858663555, 0.24243661069253059, 0.5591999888420105
0.65, 5000, 500, 1.0293330513552184, 0.2626396615835748, 0.5249000191688538
0.7, 5000, 500, 1.1085125168440813, 0.282842712474619, 0.4876999855041504
0.75, 5000, 500, 1.1876919823329446, 0.30304576336566325, 0.4699999988079071
0.8, 5000, 500, 1.2668714478218075, 0.32324881425670743, 0.4359000027179718
0.85, 5000, 500, 1.3460509133106702, 0.3434518651477516, 0.4099999964237213
0.9, 5000, 500, 1.4252303787995333, 0.3636549160387959, 0.3946000039577484
0.95, 5000, 500, 1.5044098442883962, 0.3838579669298401, 0.36800000071525574
0.0, 6000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 6000, 500, 0.06598288790738581, 0.016835875742536845, 0.8499000072479248
0.1, 6000, 500, 0.13196577581477162, 0.03367175148507369, 0.8436999917030334
0.15, 6000, 500, 0.1979486637221574, 0.050507627227610534, 0.8375999927520752
0.2, 6000, 500, 0.26393155162954324, 0.06734350297014738, 0.8246999979019165
0.25, 6000, 500, 0.329914439536929, 0.08417937871268423, 0.8070999979972839
